Id,Platform,Name,AdditionalInformation,Expires
1ec6614b-e83f-b681-061d-f9eb50057e59,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:46:31
1ec6614b-e83f-b681-061d-f9eb50057e59,host,,,2031-12-09 05:46:31
356bba50-d65d-ba2b-0852-63f66a1e2bb1,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:46:33
356bba50-d65d-ba2b-0852-63f66a1e2bb1,host,,,2031-12-09 05:46:33
35e13fe0-ab16-34e0-b277-83ac7c2313ca,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:46:35
35e13fe0-ab16-34e0-b277-83ac7c2313ca,host,,,2031-12-09 05:46:35
07697998-695f-bcb3-9b6b-eaf180a2337f,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:46:37
07697998-695f-bcb3-9b6b-eaf180a2337f,host,,,2031-12-09 05:46:37
a67c7c31-65c7-5dbd-f075-0728669abaad,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:46:39
a67c7c31-65c7-5dbd-f075-0728669abaad,host,,,2031-12-09 05:46:39
6ad21aba-2740-b882-3491-c7f678dcff3d,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:46:43
6ad21aba-2740-b882-3491-c7f678dcff3d,host,,,2031-12-09 05:46:43
321a1fa5-a9d8-9bd0-3641-eafb96ff8608,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:46:45
321a1fa5-a9d8-9bd0-3641-eafb96ff8608,host,,,2031-12-09 05:46:45
e0f37caa-1815-ace0-deea-24d150ee3437,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:46:57
e0f37caa-1815-ace0-deea-24d150ee3437,host,,,2031-12-09 05:46:57
1a02f450-8032-69e6-ed07-d9514b39af9d,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:46:52
1a02f450-8032-69e6-ed07-d9514b39af9d,host,,,2031-12-09 05:46:52
99163661-9506-caa5-ba5b-1975480217ee,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:47:07
99163661-9506-caa5-ba5b-1975480217ee,host,,,2031-12-09 05:47:07
55e4893f-7de4-fb1a-0352-5a7698929e05,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:47:11
55e4893f-7de4-fb1a-0352-5a7698929e05,host,,,2031-12-09 05:47:11
d6ec3c2b-578e-f26f-7058-f8ea8f63b963,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:47:21
d6ec3c2b-578e-f26f-7058-f8ea8f63b963,host,,,2031-12-09 05:47:21
7de61c53-5c64-acff-fb3c-1f44389af46b,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:47:29
7de61c53-5c64-acff-fb3c-1f44389af46b,host,,,2031-12-09 05:47:29
cb80f0fa-414d-cf6b-e0cd-97710038b42b,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:47:31
cb80f0fa-414d-cf6b-e0cd-97710038b42b,host,,,2031-12-09 05:47:31
3b2a04e0-8951-696a-90bb-5744c9335e16,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:47:34
3b2a04e0-8951-696a-90bb-5744c9335e16,host,,,2031-12-09 05:47:34
e8975b55-89cc-ee1e-efe5-50f6112bc18b,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:47:33
e8975b55-89cc-ee1e-efe5-50f6112bc18b,host,,,2031-12-09 05:47:33
5c13e1a4-a48d-201e-3c04-5452c9accf06,data_boundary,microsoftdevice.apps.installedapps,,2031-12-09 05:47:37
5c13e1a4-a48d-201e-3c04-5452c9accf06,host,,,2031-12-09 05:47:37
