Id,ActivityTypeOrg,ActivityType,Executable,DisplayText,ContentInfo,Payload,ClipboardPayload,StartTime,EndTime,Duration,LastModifiedTime,LastModifiedTimeOnClient,CreatedTime,ExpirationTime,OperationExpirationTime,OperationOrder,AppId,OperationType,Description,PlatformDeviceId,DevicePlatform,TimeZone
3e08af4b-ad67-314f-6ee7-f4cbedc3e610,11,11,MicrosoftDevice.Default.QuietHoursProfile,,,(Binary data),,2024-12-06 10:09:10,,,2024-12-06 10:09:10,2024-12-06 10:09:32,2024-12-06 10:09:10,2031-12-05 10:09:32,2024-12-06 10:08:10,18,"[{""application"":""MicrosoftDevice.Default.QuietHoursProfile"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
0512b351-0b16-176f-4f5f-cd54312fd0a0,11,11,MicrosoftDevice.Default.QuietHoursProfile,,,(Binary data),,2024-12-06 10:09:10,,,2024-12-06 10:09:10,2024-12-06 10:09:34,2024-12-06 10:09:10,2031-12-05 10:09:34,2024-12-06 10:08:10,19,"[{""application"":""MicrosoftDevice.Default.QuietHoursProfile"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
2f695da0-7351-e964-eea0-11d04f8aa19d,11,11,MicrosoftDevice.Default.QuietHoursProfile,,,(Binary data),,2024-12-06 10:09:10,,,2024-12-06 10:09:10,2024-12-06 10:09:36,2024-12-06 10:09:10,2031-12-05 10:09:36,2024-12-06 10:08:10,20,"[{""application"":""MicrosoftDevice.Default.QuietHoursProfile"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
c097b676-7c29-edf0-9e2d-d1608e19923a,11,11,MicrosoftDevice.Apps.InstalledApps,,,(Binary data),,2024-12-06 10:09:49,,,2024-12-06 10:09:49,2024-12-06 10:10:00,2024-12-06 10:09:49,2031-12-05 10:10:00,2024-12-06 10:08:49,25,"[{""application"":""MicrosoftDevice.Apps.InstalledApps"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
e28e09fb-1f6c-99e5-c515-81335742008d,12,12,Microsoft.Credentials.WiFi,,,(Binary data),,2024-12-06 10:11:55,,,2024-12-06 10:11:55,2024-12-06 09:57:36,2024-12-06 10:11:55,2031-12-05 09:57:36,2024-12-06 10:10:55,34,"[{""application"":""Microsoft.Credentials.WiFi"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
e7a76929-5065-4d66-94ab-bd1a12316e1f,12,12,Microsoft.Credentials.WiFi,,,(Binary data),,2024-12-06 10:11:55,,,2024-12-06 10:11:55,2024-12-06 09:57:36,2024-12-06 10:11:55,2031-12-05 09:57:36,2024-12-06 10:10:55,35,"[{""application"":""Microsoft.Credentials.WiFi"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
b5d03adf-8d17-53b2-fdf0-9b90a37ac604,12,12,Microsoft.Credentials.WiFi,,,(Binary data),,2024-12-06 10:11:55,,,2024-12-06 10:11:55,2024-12-06 09:57:36,2024-12-06 10:11:55,2031-12-05 09:57:36,2024-12-06 10:10:55,36,"[{""application"":""Microsoft.Credentials.WiFi"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
2fbc341d-da3d-778a-7df5-c5cee02bee15,11,11,Microsoft.Credentials.WiFi,,,(Binary data),,2024-12-06 10:11:56,,,2024-12-06 10:11:56,2024-12-06 10:11:55,2024-12-06 10:11:56,2031-12-05 10:11:55,2024-12-06 10:10:56,37,"[{""application"":""Microsoft.Credentials.WiFi"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
a6ef96cc-c780-2fd5-bca5-0de6b4362056,11,11,Microsoft.Credentials.WiFi,,,(Binary data),,2024-12-06 10:11:56,,,2024-12-06 10:11:56,2024-12-06 10:11:56,2024-12-06 10:11:56,2031-12-05 10:11:56,2024-12-06 10:10:56,38,"[{""application"":""Microsoft.Credentials.WiFi"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
a5d680f3-45c5-9335-b16a-4cf150af893a,11,11,Microsoft.Credentials.WiFi,,,(Binary data),,2024-12-06 10:11:56,,,2024-12-06 10:11:56,2024-12-06 10:11:57,2024-12-06 10:11:56,2031-12-05 10:11:57,2024-12-06 10:10:56,39,"[{""application"":""Microsoft.Credentials.WiFi"",""platform"":""data_boundary""},{""application"":"""",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,Fb0thJC0eQBIU7PLHIsPHoOV0SweolFTycQ2eKYtSg0=,,
